index,mean_intensity,edge_density,texture_variance,glcm_contrast_d1,glcm_homogeneity_d1,glcm_energy_d1,glcm_correlation_d1,glcm_contrast_d2,glcm_homogeneity_d2,glcm_energy_d2,glcm_correlation_d2,glcm_contrast_d4,glcm_homogeneity_d4,glcm_energy_d4,glcm_correlation_d4,glcm_contrast_d8,glcm_homogeneity_d8,glcm_energy_d8,glcm_correlation_d8,phase_fraction,fft_energy_ratio,run_length_mean,E_x
16,0.299088,0.102982,13631.4624,434.109375,0.890653,0.69549,0.738888,818.533003,0.79382,0.646171,0.507521,1313.217773,0.669215,0.600179,0.209188,1635.474562,0.588042,0.583944,0.011232,0.299088,0.773714,8.861,2544.1689
17,0.327713,0.041931,14326.1255,136.920772,0.965511,0.725176,0.921741,272.661217,0.93132,0.703587,0.844218,531.254883,0.866183,0.665425,0.696672,968.368983,0.756078,0.611855,0.446973,0.327713,0.933331,26.1308,1948.2312
18,0.144058,0.007339,8017.9372,15.625506,0.996064,0.866066,0.983997,31.251969,0.992128,0.864169,0.967914,62.507812,0.984255,0.860439,0.935493,124.531376,0.968632,0.853295,0.870076,0.144058,0.974622,127.7505,1208.3615
19,0.431442,0.110718,15950.6219,85.180285,0.978544,0.698787,0.956263,169.627384,0.957273,0.684329,0.912918,337.086914,0.915091,0.656756,0.827011,653.352114,0.835428,0.609324,0.664879,0.431442,0.834731,39.551,1873.1333
20,0.381897,0.023376,15349.2602,55.753263,0.985956,0.716894,0.970252,111.090982,0.972017,0.707443,0.94074,218.408203,0.944985,0.689556,0.883541,414.979555,0.895471,0.658471,0.778856,0.381897,0.969852,55.8704,2031.6021
21,0.097488,0.038574,5721.1866,111.749724,0.971851,0.892342,0.840353,219.740404,0.94465,0.878061,0.686693,410.299805,0.89665,0.854422,0.416855,640.16129,0.83875,0.828834,0.092642,0.097488,0.784852,31.297,1185.1291
22,0.133896,0.065414,7540.8042,179.723713,0.95473,0.851025,0.80526,346.579448,0.9127,0.828967,0.625419,604.898438,0.847633,0.797855,0.349384,810.704259,0.795792,0.775402,0.135278,0.133896,0.711278,20.4035,1238.1013
23,0.365311,0.062012,15076.6174,149.992693,0.962218,0.707243,0.918456,298.236559,0.924877,0.68362,0.837767,581.334961,0.853568,0.642103,0.683439,1069.707015,0.730552,0.583748,0.417089,0.365311,0.912351,24.0676,1870.4672
24,0.030029,0.022812,1894.0182,64.630009,0.98372,0.962084,0.721053,118.842935,0.970065,0.955218,0.488259,180.755859,0.95447,0.947517,0.224727,226.557082,0.942933,0.94177,0.036539,0.030029,0.5122,49.6861,1036.9176
25,0.111679,0.021072,6450.9261,45.478125,0.988545,0.889734,0.941849,90.093565,0.977306,0.884393,0.883989,174.357422,0.956081,0.874668,0.772333,306.389696,0.922824,0.860991,0.588199,0.111679,0.899581,65.2749,1192.3537
26,0.195633,0.019348,10232.3788,45.842923,0.988453,0.821254,0.96323,90.39876,0.97723,0.815048,0.927335,175.833984,0.955709,0.803719,0.857868,334.396752,0.915769,0.784227,0.726307,0.195633,0.951456,64.8871,1324.6014
27,0.305557,0.022018,13797.7859,45.052528,0.988652,0.751216,0.973257,90.032526,0.977322,0.743844,0.946567,179.709961,0.954733,0.729456,0.893379,353.776635,0.910887,0.702639,0.790324,0.305557,0.963386,65.7332,1629.6813
28,0.027069,0.014389,1712.5216,32.710202,0.991761,0.968996,0.844129,64.090951,0.983856,0.964918,0.695591,118.801758,0.970075,0.95792,0.438977,190.110399,0.952113,0.948964,0.110711,0.027069,0.702171,82.539,1032.3315
29,0.018982,0.021759,1210.8708,64.326011,0.983797,0.973106,0.5634,109.38189,0.972448,0.967545,0.256314,140.519531,0.964605,0.963728,0.045123,146.53692,0.963089,0.962993,0.004518,0.018982,0.246167,49.8752,1030.2299
30,0.301788,0.043442,13701.5565,84.26829,0.978774,0.746822,0.949626,168.284526,0.957611,0.7334,0.899413,335.302734,0.915541,0.707899,0.799589,655.040039,0.835003,0.664021,0.608239,0.301788,0.926366,39.9123,1610.2695
31,0.076904,0.006851,4616.1264,11.430331,0.997121,0.924943,0.979663,22.767547,0.994265,0.923606,0.959388,45.588867,0.988517,0.92094,0.918257,90.960418,0.977088,0.915776,0.835079,0.076904,0.955717,147.6036,1093.2986
32,0.431534,0.018463,15951.4376,45.478125,0.988545,0.705591,0.976654,91.253306,0.977014,0.697518,0.953175,183.339844,0.953819,0.681583,0.905994,369.59312,0.906903,0.650704,0.810784,0.431534,0.979046,65.2749,2454.6445
33,0.407043,0.015915,15694.3742,32.649403,0.991776,0.713674,0.982951,65.128614,0.983595,0.708207,0.965977,128.830078,0.967549,0.697634,0.932644,247.62489,0.937626,0.678398,0.870367,0.407043,0.980203,82.6431,1851.6683
34,0.458252,0.026459,16142.918,55.570864,0.986002,0.699793,0.971799,110.419553,0.972187,0.69029,0.943961,214.224609,0.946039,0.672716,0.891266,398.037787,0.899739,0.642998,0.797942,0.458252,0.970607,56.0137,2046.2181
35,0.091782,0.021683,5420.3378,58.002849,0.98539,0.90504,0.91223,114.753322,0.971095,0.897544,0.826183,223.576172,0.943684,0.883693,0.660516,392.786464,0.901061,0.863852,0.398725,0.091782,0.883029,54.162,1161.2491
